"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PASSCAR","TOT","IDX2015","M","2015-06",131.210840768457,
"AUS","PASSCAR","TOT","IDX2015","M","2015-07",96.3847945346269,
"AUS","PASSCAR","TOT","IDX2015","M","2015-08",94.6465173372014,
"AUS","PASSCAR","TOT","IDX2015","M","2015-09",107.237973716411,
"AUS","PASSCAR","TOT","IDX2015","M","2015-10",95.072360345406,
"AUS","PASSCAR","TOT","IDX2015","M","2015-11",97.0968598926084,
"AUS","PASSCAR","TOT","IDX2015","M","2015-12",102.788728734513,
"AUS","PASSCAR","TOT","IDX2015","M","2016-01",81.9433644312494,
"AUS","PASSCAR","TOT","IDX2015","M","2016-02",92.0519001014189,
"AUS","PASSCAR","TOT","IDX2015","M","2016-03",101.578683028139,
"AUS","PASSCAR","TOT","IDX2015","M","2016-04",85.3338194200701,
"AUS","PASSCAR","TOT","IDX2015","M","2016-05",88.9430134404275,
"AUS","PASSCAR","TOT","IDX2015","M","2016-06",125.267654741382,
"AUS","PASSCAR","TOT","IDX2015","M","2016-07",88.5032083663801,
"AUS","PASSCAR","TOT","IDX2015","M","2016-08",90.625442374482,
"AUS","PASSCAR","TOT","IDX2015","M","2016-09",97.911313733437,
"AUS","PASSCAR","TOT","IDX2015","M","2016-10",88.0005739960402,
"AUS","PASSCAR","TOT","IDX2015","M","2016-11",92.7360413277149,
"AUS","PASSCAR","TOT","IDX2015","M","2016-12",98.6303601243399,
"AUS","PASSCAR","TOT","IDX2015","M","2017-01",81.2592232049534,
"AUS","PASSCAR","TOT","IDX2015","M","2017-02",80.8403612296702,
"AUS","PASSCAR","TOT","IDX2015","M","2017-03",90.6882716707745,
"AUS","PASSCAR","TOT","IDX2015","M","2017-04",74.8064217746174,
"AUS","PASSCAR","TOT","IDX2015","M","2017-05",90.385760244181,
"AUS","PASSCAR","TOT","IDX2015","M","2017-06",117.853797778868,
"AUS","PASSCAR","TOT","IDX2015","M","2017-07",83.2883767741035,
"AUS","PASSCAR","TOT","IDX2015","M","2017-08",83.1510831266495,
"AUS","PASSCAR","TOT","IDX2015","M","2017-09",88.7684876173928,
"AUS","PASSCAR","TOT","IDX2015","M","2017-10",84.6938914022762,
"AUS","PASSCAR","TOT","IDX2015","M","2017-11",85.9341882513094,
"AUS","PASSCAR","TOT","IDX2015","M","2017-12",85.5129992650524,
"AUS","PASSCAR","TOT","IDX2015","M","2018-01",74.1385696251379,"E"
"AUS","PASSCAR","TOT","IDX2015","M","2018-02",80.2586084862212,"E"
"AUS","PASSCAR","TOT","IDX2015","M","2018-03",84.0516363735085,"E"
"AUS","PASSCAR","TOT","IDX2015","M","2018-04",64.069593141523,"E"
"AUS","PASSCAR","TOT","IDX2015","M","2018-05",76.2933817868729,
"AUS","PASSCAR","TOT","IDX2015","M","2018-06",96.7129030819321,
"AUS","PASSCAR","TOT","IDX2015","M","2018-07",66.429182268952,
"AUS","PASSCAR","TOT","IDX2015","M","2018-08",71.9977195292457,
"AUS","PASSCAR","TOT","IDX2015","M","2018-09",70.9435835581161,
"AUS","PASSCAR","TOT","IDX2015","M","2018-10",64.6955590934741,
"AUS","PASSCAR","TOT","IDX2015","M","2018-11",68.0650709835306,
"AUS","PASSCAR","TOT","IDX2015","M","2018-12",63.0619973898694,
"AUS","PASSCAR","TOT","IDX2015","M","2019-01",65.2726578149755,
"AUS","PASSCAR","TOT","IDX2015","M","2019-02",63.1806749495329,"E"
"AUS","PASSCAR","TOT","IDX2015","M","2019-03",67.4809912291078,
"AUS","PASSCAR","TOT","IDX2015","M","2019-04",55.4200933519236,
"AUS","PASSCAR","TOT","IDX2015","M","2019-05",67.227347032964,
"AUS","PASSCAR","TOT","IDX2015","M","2019-06",78.8018996166249,
"AUS","PASSCAR","TOT","IDX2015","M","2019-07",54.4194786331913,
"AUS","PASSCAR","TOT","IDX2015","M","2019-08",59.9973239373801,
"AUS","PASSCAR","TOT","IDX2015","M","2019-09",57.9262841707018,
